"pff_PLAYID","pff_GAMEID","pff_GAMEDATE","pff_GAMESEASON","pff_WEEK","pff_GSISGAMEKEY","pff_GSISPLAYID","pff_QUARTER","pff_DOWN","pff_CLOCK","pff_BLITZDOG","pff_CATCHABLE","pff_DEEPPASS","pff_DEFSCORE","pff_DRAW","pff_DRIVE","pff_DRIVEPLAY","pff_GAINLOSSNET","pff_GARBAGETIME","pff_GETOFFTIME","pff_KICKYARDS","pff_NOHUDDLE","pff_NOPLAY","pff_OFFFORMATIONUNBALANCED","pff_OFFSCORE","pff_OPTION","pff_PENALTYYARDS","pff_PLAYACTION","pff_PREVIOUSPFFPLAYID","pff_RETURNYARDS","pff_SCORE","pff_SCREEN","pff_SNAPTIME","pff_SORTORDER","pff_STUNT","pff_TIMETOPRESSURE","pff_TIMETOTHROW","pff_TRICKLOOK","pff_TRICKPLAY","pff_YARDSAFTERCATCH","pff_YARDSAFTERCONTACT","pff_2MINUTE","pff_BALLCARRIER","pff_BOXPLAYERS","pff_BUNCHED","pff_CENTERPASSBLOCKDIRECTION","pff_CHECKROUTE","pff_CHIPROUTE","pff_DBDEPTH","pff_DEFFRONT","pff_DEFPERSONNEL","pff_DEFPLAYERS","pff_DEFPLAYERSRATINGS","pff_DEFSUBSTITUTIONS","pff_DEFSUCCESS","pff_DEFTEAM","pff_DISTANCE","pff_DLDROP","pff_DLTECHNIQUES","pff_DOUBLETEAM","pff_DRIVEENDEVENT","pff_DRIVEENDFIELDPOSITION","pff_DRIVEENDPLAYNUMBER","pff_DRIVESTARTEVENT","pff_DRIVESTARTFIELDPOSITION","pff_DROPBACKDEPTH","pff_DROPBACKTYPE","pff_FIELDPOSITION","pff_FIRSTCONTACT","pff_FORCEDFUMBLE","pff_FUMBLE","pff_FUMBLERECOVERY","pff_GAINLOSS","pff_GUNNERS","pff_HANGTIME","pff_HASH","pff_HASHDEF","pff_HIT","pff_HURRY","pff_INCOMPLETIONTYPE","pff_INJURED","pff_INTERCEPTION","pff_KEYPLAYERS","pff_KICKCONTACT","pff_KICKDEPTH","pff_KICKDIRACTUAL","pff_KICKDIRINTENDED","pff_KICKER","pff_KICKRESULT","pff_KICKTYPE","pff_KICKWIDTH","pff_KICKZONE","pff_LBDEPTH","pff_MISSEDTACKLE","pff_MOFOCPLAYED","pff_MOFOCSHOWN","pff_NEGATIVEPFFGRADE","pff_OFFFORMATION","pff_OFFFORMATIONGROUP","pff_OFFODDITIES","pff_OFFPERSONNEL","pff_OFFPERSONNELBASIC","pff_OFFPERSONNELSKILL","pff_OFFPLAYERS","pff_OFFPLAYERSRATINGS","pff_OFFSUBSTITUTIONS","pff_OFFSUCCESS","pff_OFFTEAM","pff_ONLOS","pff_OPERATIONTIME","pff_PASSBLOCKING","pff_PASSBREAKUP","pff_PASSCOVERAGE","pff_PASSCOVERAGE1","pff_PASSCOVERAGE2","pff_PASSCOVERAGEPLAYERS","pff_PASSDEPTH","pff_PASSDIRECTION","pff_PASSER","pff_PASSPATTERN","pff_PASSPATTERNBASIC","pff_PASSPATTERNBYPLAYER","pff_PASSRECEIVERPOSITIONTARGET","pff_PASSRECEIVERTARGET","pff_PASSRESULT","pff_PASSROUTETARGET","pff_PASSROUTETARGETGROUP","pff_PASSRUSHPLAYERS","pff_PASSRUSHRESULT","pff_PASSWIDTH","pff_PASSZONE","pff_PENALTY","pff_PISTOL","pff_PLAYACTIONFAKE","pff_PLAYENDFIELDPOSITION","pff_POAACTUAL","pff_POACHANGEREASON","pff_POAINTENDED","pff_POSITIVEPFFGRADE","pff_PRESS","pff_PRESSUREDETAIL","pff_PUMPFAKE","pff_PUNTRUSH","pff_PURSUIT","pff_QB","pff_QBMOVEDOFFSPOT","pff_QBPRESSURE","pff_QBPRESSUREALLOWED","pff_QBRESET","pff_QBSCRAMBLE","pff_RBALIGNMENT","pff_RBDEPTH","pff_RBDIRECTION","pff_RBSINBACKFIELD","pff_RETDIRECTIONINTENDED","pff_RETURNDIRECTION","pff_RETURNER","pff_RUNCONCEPT3","pff_RUNCONCEPTPRIMARY","pff_RUNCONCEPTSECONDARY","pff_RUNPASS","pff_SACK","pff_SCOREDIFFERENTIAL","pff_SHIFTMOTION","pff_SHOTGUN","pff_SPECIALTEAMSTYPE","pff_STOP","pff_STSAFETIES","pff_TACKLE","pff_TACKLEASSIST","pff_TEALIGNMENT","pff_TOUCHDOWN","pff_UNBLOCKEDPRESSURE","pff_VISE","pff_WRALIGNMENT","pff_PLAYCLOCK","pff_RUNPASSOPTION"
3401248,16800,"1/13/20",2019,"FC",76953,0,1,0,"15:00",0,NA,0,0,0,NA,NA,40,0,NA,75,0,0,0,0,0,NA,0,NA,NA,0,0,NA,1,0,NA,NA,0,0,NA,NA,0,"","","","","","","","","","","","","","LAST",0,"","","","",NA,NA,"",NA,NA,"",-35,"","","","",75,"",3.74,"L","R","","","","","","","",75,"","","LAST S32","TOUCHBACK","D",22,"4","","","","","","","","","","","","","","","","SCCL","",NA,"","","","","","",NA,"","","","","","","","","","","","",NA,"","","","",25,"","","","","","",0,"","","",NA,"","",NA,"","","","","","","","",NA,"","","","",0,"","","KICKOFF","","","","","","","","","",NA,0
3401250,16800,"1/13/20",2019,"FC",76953,0,1,1,"15:00",0,1,0,0,0,1,1,-6,0,NA,NA,0,0,0,0,0,NA,1,3401248,NA,0,0,NA,2,0,NA,2,1,1,-4,1,0,"SCCL 08","7; LAST D03; LAST D06; LAST D08; LAST D18; LAST D72; LAST D90; LAST D97","SCCL 05; SCCL 08","R","","","FS; SCBiR; SCBoR; RCB","LOLB; LLB; LE; LILB; NT; RE; RLB","3/3/05","LAST D01 (RCB); LAST D03 (LLB); LAST D05 (SCBiR); LAST D06 (RLB); LAST D07 (FS); LAST D08 (LILB); LAST D18 (LOLB); LAST D24 (SCBoR); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","LAST D01 (-0.5); LAST D03 (0.0); LAST D05 (0.0); LAST D06 (0.0); LAST D07 (0.0); LAST D08 (0.0); LAST D18 (+0.5); LAST D24 (0.0); LAST D72 (0.0); LAST D90 (0.0); LAST D97 (0.0)","DRIVE START","1G","LAST",10,"","LE; NT; RE","","PUNT",35,6,"KICKOFF - TB",-25,6,"SD",-25,"LAST D01","","","",-7,"",NA,"R","L","","","","","","SCCL 09 (HB-R); LAST D01 (RCB); LAST D18 (LOLB)","",NA,"","","","","",NA,"","LOLB; LLB; LILB; RLB","LAST D01","","","LAST D01","LWR; SLoWR^; SLiWR; HB-R; TE-R^","3x1","","3-0-1-1","11","SCCL 03; SCCL 05; SCCL 08; SCCL 09; SCCL 25","SCCL 03 (SLiWR); SCCL 05 (SLoWR); SCCL 08 (LWR); SCCL 09 (HB-R); SCCL 16 (QB); SCCL 25 (TE-R); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","SCCL 03 (0.0); SCCL 05 (0.0); SCCL 08 (0.0); SCCL 09 (0.0); SCCL 16 (0.0); SCCL 25 (0.0); SCCL 59 (0.0); SCCL 73 (0.0); SCCL 74 (0.0); SCCL 76 (0.0); SCCL 79 (0.0)","DRIVE START","3R","SCCL","SCCL 05; SCCL 25",NA,"5; SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","","","LAST D01","","7; LAST D01; LAST D03; LAST D05; LAST D06; LAST D07; LAST D08; LAST D24",-3,"M","SCCL 16 (QB)","","","","LWR","SCCL 08","COMPLETE","","0R","4; LAST D18 (LOLB); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","",18,"3L","","","",-19,"","","","LAST D18","LAST D24 > SCCL 05","",0,"","","SCCL 16",0,"","",0,"","HB-R","HB-R","","1; SCCL 09 (HB-R)","","","",NA,"","","P","",0,"Y","S","","LAST D18","","LAST D18","","R","","","","LWR; SLoWR^; SLiWR",3,0
3401251,16800,"1/13/20",2019,"FC",76953,0,1,2,"14:35",1,1,1,0,0,1,2,35,0,NA,NA,0,0,0,0,0,0,0,3401250,NA,0,0,NA,3,0,NA,2.9,0,0,5,5,0,"SCCL 08","6; LAST D06; LAST D08; LAST D18; LAST D72; LAST D90; LAST D97","","C","","","LCB; SCBoL; SCBiL; FS; RCB","LLB; LE; NT; MLB; RE; ROLB","3/3/05","LAST D01 (LCB); LAST D03 (SCBiL); LAST D05 (SCBoL); LAST D06 (LLB); LAST D07 (FS); LAST D08 (MLB); LAST D18 (ROLB); LAST D24 (RCB); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","LAST D01 (-1.0); LAST D03 (0.0); LAST D05 (0.0); LAST D06 (0.0); LAST D07 (0.0); LAST D08 (0.0); LAST D18 (-1.0); LAST D24 (0.0); LAST D72 (0.0); LAST D90 (0.0); LAST D97 (0.0)","","3R","LAST",16,"","LE; NT; RE","","PUNT",35,6,"KICKOFF - TB",-25,NA,"RR",-19,"LAST D01","","SCCL 16","SCCL 16",35,"",NA,"L","R","","","","","","SCCL 08 (RWR); SCCL 16 (QB); SCCL 16 (QB); SCCL 16 (QB); SCCL 16 (QB); SCCL 76 (C); LAST D01 (LCB); LAST D18 (ROLB)","",NA,"","","","","",NA,"","LLB; MLB; ROLB","","","","SCCL 76; LAST D01; LAST D18","LWR^; HB-R; SRiWR; SRoWR; RWR^","1x3","TE>SRiWR","3-0-1-1","11","SCCL 03; SCCL 05; SCCL 08; SCCL 09; SCCL 25","SCCL 03 (SRoWR); SCCL 05 (LWR); SCCL 08 (RWR); SCCL 09 (HB-R); SCCL 16 (QB); SCCL 25 (SRiWR); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","SCCL 03 (0.0); SCCL 05 (0.0); SCCL 08 (+1.0); SCCL 09 (0.0); SCCL 16 (+1.0); SCCL 25 (0.0); SCCL 59 (0.0); SCCL 73 (0.0); SCCL 74 (0.0); SCCL 76 (-1.0); SCCL 79 (0.0)","","1G","SCCL","SCCL 05; SCCL 08",NA,"6; SCCL 09 (HB-R); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","","","LAST D01","","6; LAST D01; LAST D03; LAST D05; LAST D07; LAST D08; LAST D24",30,"R","SCCL 16 (QB)","","","","RWR","SCCL 08","COMPLETE","","9R","5; LAST D06 (LLB); LAST D18 (ROLB); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","",45,"6R","(D) LAST D18 DOF","","",46,"","","","SCCL 08; SCCL 16","LAST D03 > SCCL 25; LAST D24 > SCCL 05","",0,"","","SCCL 16",0,"","",0,"","HB-R","HB-R","","1; SCCL 09 (HB-R)","","","",NA,"","","P","",0,"","S","","","","LAST D01","","","","","","LWR^; SRiWR; SRoWR; RWR^",23,0
3401252,16800,"1/13/20",2019,"FC",76953,0,1,1,"14:19",1,1,0,0,0,1,3,19,0,NA,NA,0,0,0,0,0,NA,0,3401251,NA,0,1,NA,4,0,NA,1.9,0,0,22,9,0,"SCCL 09","7; LAST D03; LAST D06; LAST D08; LAST D18; LAST D72; LAST D90; LAST D97","","C","","","LCB; SCBL; FS; RCB","LOLB; LE; LILB; NT; RILB; RE; ROLB","3/3/05","LAST D01 (LCB); LAST D03 (LOLB); LAST D05 (SCBL); LAST D06 (LILB); LAST D07 (FS); LAST D08 (RILB); LAST D18 (ROLB); LAST D24 (RCB); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","LAST D01 (0.0); LAST D03 (0.0); LAST D05 (0.0); LAST D06 (0.0); LAST D07 (0.0); LAST D08 (-0.5); LAST D18 (0.0); LAST D24 (-1.0); LAST D72 (0.0); LAST D90 (0.0); LAST D97 (0.0)","","3R","LAST",10,"","LE; NT; RE","","PUNT",35,6,"KICKOFF - TB",-25,8,"SD",46,"LAST D24","","","",19,"",NA,"R","L","","","","","","SCCL 05 (LWR); SCCL 09 (HB-L); LAST D08 (RILB); LAST D24 (RCB)","",NA,"","","","","",NA,"","LOLB; LILB; RILB; ROLB","LAST D24","","","LAST D08; LAST D24","LWR^; HB-L; TE-R; SRWR; RWR^","1x3","","3-0-1-1","11","SCCL 03; SCCL 05; SCCL 08; SCCL 09; SCCL 25","SCCL 03 (SRWR); SCCL 05 (LWR); SCCL 08 (RWR); SCCL 09 (HB-L); SCCL 16 (QB); SCCL 25 (TE-R); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","SCCL 03 (0.0); SCCL 05 (0.0); SCCL 08 (0.0); SCCL 09 (+0.5); SCCL 16 (0.0); SCCL 25 (0.0); SCCL 59 (0.0); SCCL 73 (0.0); SCCL 74 (0.0); SCCL 76 (0.0); SCCL 79 (0.0)","","1G","SCCL","SCCL 05; SCCL 08",NA,"5; SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","","","LAST D08","","6; LAST D01; LAST D05; LAST D06; LAST D07; LAST D08; LAST D24",-3,"M","SCCL 16 (QB)","","","","HB-L","SCCL 09","COMPLETE","","H3","5; LAST D03 (LOLB); LAST D18 (ROLB); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","",18,"3L","","","",27,"","","","SCCL 09","LAST D01 > SCCL 08; LAST D24 > SCCL 05","",0,"","","SCCL 16",0,"","",0,"","HB-L","HB-L","","1; SCCL 09 (HB-L)","","","",NA,"","","P","",0,"","S","","","","LAST D06","","R","","","","LWR^; SRWR; RWR^",17,0
3401253,16800,"1/13/20",2019,"FC",76953,0,1,1,"13:58",1,1,0,0,0,1,4,3,0,NA,NA,0,0,1,0,0,NA,0,3401252,NA,0,1,NA,5,0,NA,1.1,0,0,7,1,0,"SCCL 03","7; LAST D03; LAST D06; LAST D08; LAST D18; LAST D72; LAST D90; LAST D97","","C","","","LCB; SCBoL; SCBiL; FS","LOLB; LLB; LE; NT; MLB; RE; ROLB","3/3/05","LAST D01 (LCB); LAST D03 (LOLB); LAST D05 (SCBoL); LAST D06 (LLB); LAST D07 (SCBiL); LAST D08 (MLB); LAST D18 (ROLB); LAST D24 (FS); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","LAST D01 (0.0); LAST D03 (0.0); LAST D05 (+0.5); LAST D06 (0.0); LAST D07 (0.0); LAST D08 (0.0); LAST D18 (0.0); LAST D24 (0.0); LAST D72 (0.0); LAST D90 (0.0); LAST D97 (0.0)","","2A","LAST",10,"","LE; NT; RE","","PUNT",35,6,"KICKOFF - TB",-25,6,"SD",27,"LAST D05","","","",3,"",NA,"L","R","","","","","","SCCL 08 (SRoWR); LAST D05 (SCBoL)","",NA,"","","","","",NA,"","LOLB; LLB; MLB; ROLB","","","","","HB-R; TE-R^; SRiWR; SRoWR^; RWR","0x4","","3-0-1-1","11","SCCL 03; SCCL 05; SCCL 08; SCCL 09; SCCL 25","SCCL 03 (SRiWR); SCCL 05 (RWR); SCCL 08 (SRoWR); SCCL 09 (HB-R); SCCL 16 (QB); SCCL 25 (TE-R); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","SCCL 03 (0.0); SCCL 05 (0.0); SCCL 08 (0.0); SCCL 09 (0.0); SCCL 16 (0.0); SCCL 25 (0.0); SCCL 59 (0.0); SCCL 73 (0.0); SCCL 74 (0.0); SCCL 76 (0.0); SCCL 79 (0.0)","","2A","SCCL","SCCL 08; SCCL 25",NA,"5; SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","","","LAST D07","","6; LAST D01; LAST D05; LAST D06; LAST D07; LAST D08; LAST D24",-4,"M","SCCL 16 (QB)","","","","SRiWR","SCCL 03","COMPLETE","","0R","5; LAST D03 (LOLB); LAST D18 (ROLB); LAST D72 (NT); LAST D90 (RE); LAST D97 (LE)","",34,"5R","","","",24,"","","","LAST D05","LAST D01 > SCCL 05","",0,"","","SCCL 16",0,"","",0,"","HB-R","HB-R","","1; SCCL 09 (HB-R)","","","",NA,"","","P","",0,"","S","","LAST D05","","LAST D05","","R","","","","SRiWR; SRoWR^; RWR",25,1
3401254,16800,"1/13/20",2019,"FC",76953,0,1,2,"13:29",0,NA,0,0,0,1,5,-1,0,NA,NA,0,0,0,0,1,NA,0,3401253,NA,0,0,NA,6,0,NA,NA,0,0,NA,1,0,"SCCL 23","7; LAST D03; LAST D06; LAST D08; LAST D18; LAST D72; LAST D90; LAST D97","","","","","LCB; FS; SCBR; RCB","LOLB; LILB; DLT; DRT; RE; RLB; ROLB","3/3/05","LAST D01 (LCB); LAST D03 (ROLB); LAST D05 (SCBR); LAST D06 (RLB); LAST D07 (FS); LAST D08 (LILB); LAST D18 (LOLB); LAST D24 (RCB); LAST D72 (DRT); LAST D90 (RE); LAST D97 (DLT)","LAST D01 (0.0); LAST D03 (0.0); LAST D05 (0.0); LAST D06 (0.0); LAST D07 (0.0); LAST D08 (0.0); LAST D18 (0.0); LAST D24 (0.0); LAST D72 (0.0); LAST D90 (+0.5); LAST D97 (0.0)","","1G","LAST",7,"","DLT; DRT; RE","","PUNT",35,6,"KICKOFF - TB",-25,NA,"",24,"LAST D90","","","",-1,"",NA,"R","L","","","","","","SCCL 74 (LG); SCCL 79 (LT); LAST D06 (RLB); LAST D90 (RE)","",NA,"","","","","",NA,"","LOLB; LILB; RLB; ROLB","","","","SCCL 74; SCCL 79","LWR^; SLWR; TE-L; HB-R; RWR^","3x1","","3-0-1-1","11","SCCL 03; SCCL 05; SCCL 08; SCCL 23; SCCL 25","SCCL 03 (SLWR); SCCL 05 (RWR); SCCL 08 (LWR); SCCL 16 (QB); SCCL 23 (HB-R); SCCL 25 (TE-L); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","SCCL 03 (0.0); SCCL 05 (0.0); SCCL 08 (0.0); SCCL 16 (0.0); SCCL 23 (0.0); SCCL 25 (0.0); SCCL 59 (0.0); SCCL 73 (0.0); SCCL 74 (-0.5); SCCL 76 (0.0); SCCL 79 (-0.5)","SCCL 23","3R","SCCL","SCCL 05; SCCL 08",NA,"","","","","","",NA,"","","","","","","","","","","","",NA,"","","","",25,"LT","","LT","LAST D90","LAST D01 > SCCL 05; LAST D24 > SCCL 08","",0,"","","SCCL 16",NA,"","",NA,"","HB-R","HB-R","L","1; SCCL 23 (HB-R)","","","",NA,"INSIDE ZONE","READ OPTION","R","",0,"","S","","LAST D90","","LAST D90","","L","","","","LWR^; SLWR; RWR^",11,0
3401255,16800,"1/13/20",2019,"FC",76953,0,1,3,"12:44",1,0,0,0,0,1,6,-10,0,NA,NA,0,0,0,0,0,NA,0,3401254,NA,0,0,NA,7,0,2.5,3,0,0,NA,NA,0,"SCCL 16","6; LAST D03; LAST D08; LAST D18; LAST D35; LAST D45; LAST D90","","R","","","LCB; SCBoL; SCBiL; FSL; RCB","LLB; LEO; LILB; DRT; RILB; REO","1/4/06","LAST D01 (LCB); LAST D03 (LLB); LAST D05 (FSL); LAST D07 (SCBiL); LAST D08 (RILB); LAST D18 (REO); LAST D24 (RCB); LAST D25 (SCBoL); LAST D35 (LILB); LAST D45 (LEO); LAST D90 (DRT)","LAST D01 (0.0); LAST D03 (0.0); LAST D05 (0.0); LAST D07 (+0.5); LAST D08 (0.0); LAST D18 (0.0); LAST D24 (0.0); LAST D25 (0.0); LAST D35 (0.0); LAST D45 (0.0); LAST D90 (0.0)","LAST D25; LAST D35; LAST D45","1G","LAST",8,"1; LAST D18","LEO; DRT; REO","","PUNT",35,6,"KICKOFF - TB",-25,10,"SD",25,"LAST D07","","","",-10,"",NA,"L","R","","","","","","SCCL 16 (QB); LAST D07 (SCBiL)","",NA,"","","","","",NA,"","LLB; LILB; RILB","","","","SCCL 16","LWR^; HB-L; SRiWR; SRoWR^; RWR","1x3","","4-0-1-0","10","SCCL 02; SCCL 03; SCCL 05; SCCL 08; SCCL 23","SCCL 02 (RWR); SCCL 03 (SRoWR); SCCL 05 (LWR); SCCL 08 (SRiWR); SCCL 16 (QB); SCCL 23 (HB-L); SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","SCCL 02 (0.0); SCCL 03 (0.0); SCCL 05 (0.0); SCCL 08 (0.0); SCCL 16 (-0.5); SCCL 23 (0.0); SCCL 59 (0.0); SCCL 73 (0.0); SCCL 74 (0.0); SCCL 76 (0.0); SCCL 79 (0.0)","SCCL 02","3R","SCCL","SCCL 03; SCCL 05",NA,"5; SCCL 59 (RG); SCCL 73 (RT); SCCL 74 (LG); SCCL 76 (C); SCCL 79 (LT)","","","","","6; LAST D01; LAST D05; LAST D08; LAST D18; LAST D24; LAST D25",0,"X","SCCL 16 (QB)","","","","","","SACK","","","5; LAST D03 (LLB); LAST D07 (SCBiL); LAST D35 (LILB); LAST D45 (LEO); LAST D90 (DRT)","SACK",NA,"","","","",35,"","","","LAST D07","LAST D01 > SCCL 02","LAST D07 (U) SCCL 16",0,"","","SCCL 16",1,"LAST D07","SCCL 16",0,"","HB-L","HB-L","","1; SCCL 23 (HB-L)","","","",NA,"","","P","LAST D07",0,"","S","","LAST D07","","","","","","LAST D07 (R.B.O) SCBiL","","LWR^; SRiWR; SRoWR^; RWR",2,0
3401256,16800,"1/13/20",2019,"FC",76953,0,1,4,"11:57",0,NA,0,0,0,NA,NA,-5,0,NA,NA,0,1,0,0,0,-5,0,3401255,NA,0,0,NA,8,0,NA,NA,0,0,NA,NA,0,"","","","","","","","","","","","","","LAST",18,"","","","",NA,NA,"",NA,NA,"",35,"","","","",NA,"",NA,"C","C","","","","","","","",NA,"","","","","",NA,"","","","","","","","","","","","","","","","","SCCL","",NA,"","","","","","",NA,"","","","","","","","","","","","",NA,"","","","",40,"","","","","","",0,"","","",NA,"","",NA,"","EMPTY","","","","","","",NA,"","","","",0,"","","","","","","","","","","","",0,0
3401257,16800,"1/13/20",2019,"FC",76953,0,1,4,"11:56",0,NA,0,0,0,NA,NA,33,0,1.12,33,0,0,0,0,0,NA,0,3401256,NA,0,0,0.73,9,0,NA,NA,0,0,NA,NA,0,"","","","","","","","","","","","","","LAST",23,"","","","",NA,NA,"",NA,NA,"",40,"","","","",33,"",4.06,"C","C","","","","","","","BF",32,"","","SCCL S48","DOWNED","A",18,"3L","","","","","","","","","","","","","","","","SCCL","",1.85,"","","","","","",NA,"","","","","","","","","","","","",NA,"","","","",7,"","","","","","",0,"","","",NA,"","",NA,"","EMPTY","","","","","","",NA,"","","","",0,"","","PUNT","","","","","","","","","",16,0
3401260,16800,"1/13/20",2019,"FC",76953,0,1,1,"11:46",1,1,1,0,0,1,1,-3,0,NA,NA,0,1,0,0,0,-3,0,3401257,NA,0,0,NA,10,0,2.5,6.8,0,0,2,2,0,"LAST 81","4; SCCL D13; SCCL D34; SCCL D35; SCCL D47","","R","","","LCB; SCBL; FSL; FSR; SCBiR; SCBoR; RCB","LE; NT; MLB; RE","3/1/07","SCCL D01 (RCB); SCCL D08 (SCBL); SCCL D11 (SCBiR); SCCL D12 (SCBoR); SCCL D13 (NT); SCCL D14 (FSR); SCCL D19 (LCB); SCCL D24 (FSL); SCCL D34 (RE); SCCL D35 (LE); SCCL D47 (MLB)","SCCL D01 (-1.0); SCCL D08 (0.0); SCCL D11 (0.0); SCCL D12 (0.0); SCCL D13 (0.0); SCCL D14 (0.0); SCCL D19 (0.0); SCCL D24 (0.0); SCCL D34 (0.0); SCCL D35 (+0.5); SCCL D47 (0.0)","DRIVE START","1G","SCCL",10,"","LE; NT; RE","","PUNT",-3,4,"PUNT - DOWNED",-7,6,"SR",-7,"SCCL D01","","","",38,"",NA,"R","L","","SCCL D35","","","","LAST 09 (QB); LAST 09 (QB); LAST 73 (LG); LAST 76 (RT); LAST 81 (LWR); SCCL D01 (RCB); SCCL D35 (LE); SCCL D35 (LE)","",NA,"","","","","",NA,"","MLB","SCCL D35","","","LAST 76; SCCL D01","LWR^; SLoWR; SLiWR; SRWR^; RWR","3x2","HB>RWR; TE>LWR","3-0-1-1","11","LAST 01; LAST 02; LAST 06; LAST 22; LAST 81","LAST 01 (SRWR); LAST 02 (SLiWR); LAST 06 (SLoWR); LAST 09 (QB); LAST 22 (RWR); LAST 68 (RG); LAST 73 (LG); LAST 76 (RT); LAST 77 (LT); LAST 79 (C); LAST 81 (LWR)","LAST 01 (0.0); LAST 02 (0.0); LAST 06 (0.0); LAST 09 (+1.0); LAST 22 (0.0); LAST 68 (0.0); LAST 73 (0.0); LAST 76 (-0.5); LAST 77 (0.0); LAST 79 (0.0); LAST 81 (+1.0)","DRIVE START","3R","LAST","LAST 01; LAST 81",NA,"5; LAST 68 (RG); LAST 73 (LG); LAST 76 (RT); LAST 77 (LT); LAST 79 (C)","","","SCCL D01","","7; SCCL D01; SCCL D08; SCCL D12; SCCL D14; SCCL D19; SCCL D24; SCCL D47",36,"M","LAST 09 (QB)","","","","LWR","LAST 81","COMPLETE","","SA","4; SCCL D11 (SCBiR); SCCL D13 (NT); SCCL D34 (RE); SCCL D35 (LE)","HURRY",40,"5R","LAST 73 IDP","","",-4,"","","","LAST 09; LAST 81; SCCL D35","SCCL D08 > LAST 01; SCCL D11 > LAST 02","SCCL D35 (O) LAST 76",0,"","","LAST 09",1,"SCCL D35","LAST 76",0,"","EMPTY","","","","","","",NA,"","","P","",0,"","S","","","","SCCL D01","","","","","","LWR^; SLoWR; SLiWR; SRWR^; RWR",12,0
