Rk,Wk,Date,Time,Day,Winner,Pts_winner,X8,Loser,Pts_loser,Notes
1,1,2019-08-24,NA,Sat,Florida,24,N,Miami (FL),20,Camping World Stadium - Orlando Florida
2,1,2019-08-24,NA,Sat,Hawaii,45,NA,Arizona,38,Aloha Stadium - Honolulu Hawaii
3,2,2019-08-29,NA,Thu,Alabama-Birmingham,24,NA,Alabama State,19,Legion Field - Birmingham Alabama
4,2,2019-08-29,NA,Thu,Arizona State,30,NA,Kent State,7,Sun Devil Stadium - Tempe Arizona
5,2,2019-08-29,NA,Thu,Bowling Green State,46,NA,Morgan State,3,Doyt Perry Stadium - Bowling Green Ohio
6,2,2019-08-29,NA,Thu,Buffalo,38,NA,Robert Morris,10,UB Stadium - Buffalo New York
7,2,2019-08-29,NA,Thu,Central Arkansas,35,@,Western Kentucky,28,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
8,2,2019-08-29,NA,Thu,Central Florida,62,NA,Florida A&M,0,Spectrum Stadium - Orlando Florida
9,2,2019-08-29,NA,Thu,Central Michigan,38,NA,Albany,21,Kelly/Shorts Stadium - Mount Pleasant Michigan
10,2,2019-08-29,NA,Thu,Charlotte,49,NA,Gardner-Webb,28,Jerry Richardson Stadium - Charlotte North Carolina
11,2,2019-08-29,NA,Thu,Cincinnati,24,NA,UCLA,14,Nippert Stadium - Cincinnati Ohio
12,2,2019-08-29,NA,Thu,Clemson,52,NA,Georgia Tech,14,Clemson Memorial Stadium - Clemson South Carolina
13,2,2019-08-29,NA,Thu,Connecticut,24,NA,Wagner,21,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
14,2,2019-08-29,NA,Thu,Minnesota,28,NA,South Dakota State,21,TCF Bank Stadium - Minneapolis Minnesota
15,2,2019-08-29,NA,Thu,San Jose State,35,NA,Northern Colorado,18,CEFCU Stadium - San Jose California
16,2,2019-08-29,NA,Thu,Texas A&M,41,NA,Texas State,7,Kyle Field - College Station Texas
17,2,2019-08-29,NA,Thu,Tulane,42,NA,Florida International,14,Yulman Stadium - New Orleans Louisiana
18,2,2019-08-29,NA,Thu,Utah,30,@,Brigham Young,12,LaVell Edwards Stadium - Provo Utah
19,2,2019-08-30,NA,Fri,Army,14,NA,Rice,7,Michie Stadium - West Point New York
20,2,2019-08-30,NA,Fri,Colorado,52,N,Colorado State,31,Empower Field at Mile High - Denver Colorado
21,2,2019-08-30,NA,Fri,Michigan State,28,NA,Tulsa,7,Spartan Stadium - East Lansing Michigan
22,2,2019-08-30,NA,Fri,Nevada,34,NA,Purdue,31,MacKay Stadium - Reno Nevada
23,2,2019-08-30,NA,Fri,Oklahoma State,52,@,Oregon State,36,Reser Stadium - Corvallis Oregon
24,2,2019-08-30,NA,Fri,Rutgers,48,NA,Massachusetts,21,SHI Stadium - Piscataway New Jersey
25,2,2019-08-30,NA,Fri,Wake Forest,38,NA,Utah State,35,BB&T Field - Winston-Salem North Carolina
26,2,2019-08-30,NA,Fri,Wisconsin,49,@,South Florida,0,Raymond James Stadium - Tampa Florida
27,2,2019-08-31,NA,Sat,Air Force,48,NA,Colgate,7,Falcon Stadium - Colorado Springs Colorado
28,2,2019-08-31,NA,Sat,Alabama,42,N,Duke,3,Mercedes-Benz Stadium - Atlanta Georgia
29,2,2019-08-31,NA,Sat,Appalachian State,42,NA,East Tennessee State,7,Kidd Brewer Stadium - Boone North Carolina
30,2,2019-08-31,NA,Sat,Arkansas,20,NA,Portland State,13,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
31,2,2019-08-31,NA,Sat,Auburn,27,N,Oregon,21,AT&T Stadium - Arlington Texas
32,2,2019-08-31,NA,Sat,Baylor,56,NA,Stephen F. Austin,17,McLane Stadium - Waco Texas
33,2,2019-08-31,NA,Sat,Boise State,36,@,Florida State,31,Doak Campbell Stadium - Tallahassee Florida
34,2,2019-08-31,NA,Sat,Boston College,35,NA,Virginia Tech,28,Alumni Stadium - Chestnut Hill Massachusetts
35,2,2019-08-31,NA,Sat,California,27,NA,California-Davis,13,California Memorial Stadium - Berkeley California
36,2,2019-08-31,NA,Sat,Eastern Michigan,30,@,Coastal Carolina,23,Brooks Stadium - Conway South Carolina
37,2,2019-08-31,NA,Sat,Georgia,30,@,Vanderbilt,6,Vanderbilt Stadium - Nashville Tennessee
38,2,2019-08-31,NA,Sat,Georgia State,38,@,Tennessee,30,Neyland Stadium - Knoxville Tennessee
