"","YARDLINES","punts","kicks","conversionAttempts"
"1","(0,10]",0.975609756097561,0,0.024390243902439
"2","(10,20]",0.957240038872692,0,0.0427599611273081
"3","(20,30]",0.947878228782288,0,0.0521217712177122
"4","(30,40]",0.899021352313167,0,0.100978647686833
"5","(40,50]",0.817181770560503,0,0.182818229439497
"6","(50,60]",0.69909793814433,0.00193298969072165,0.298969072164948
"7","(60,70]",0.201027146001467,0.267057960381511,0.531914893617021
"8","(70,80]",0,0.647198105761642,0.352801894238358
"9","(80,90]",0,0.748269896193772,0.251730103806228
"10","(90,100]",0,0.614285714285714,0.385714285714286
